# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (NONE)	Total score (NONE)	Length (NONE)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (CODON_CHANGE_PLUS_CODON_DELETION)	Count (CODON_CHANGE_PLUS_CODON_INSERTION)	Count (CODON_DELETION)	Count (CODON_INSERTION)	Count (DOWNSTREAM)	Count (EXON)	Count (FRAME_SHIFT)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
AAAS	AAAS	mRNA	3	0	5000	36	0	1837	21	0	14173	12	0	12336	0	0	0	0	0	30	0	0	30	1	0	5000	0	0	33	1	0	163	0	0	0	0	3	0	0	12	22	0	0	0	0	2	0	14	0	0	1	0	1
AACS	AACS	mRNA	0	0	5000	0	0	3321	26	0	77947	26	0	74626	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	1096	0	0	206	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
AACSP1	AACSP1	Non-coding_transcript	0	0	5000	3	0	2173	7	0	11414	4	0	9241	0	0	0	0	0	12	0	0	12	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0
AADAC	AADAC	mRNA	2	0	5000	2	0	1606	27	0	14416	23	0	12810	0	0	0	0	0	8	0	0	8	0	0	5000	1	0	316	1	0	90	0	0	0	0	2	0	0	23	1	0	0	0	0	0	1	0	0	0	0	1	1
AADACL2	AADACL2	mRNA	0	0	5000	2	0	1500	0	0	23853	0	0	22353	0	0	0	0	0	8	0	0	8	0	0	5000	0	0	174	0	0	120	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	AADACL3	mRNA	0	0	5000	4	0	4049	9	0	12609	4	0	8560	1	0	0	0	0	6	0	0	6	0	0	5000	1	0	2763	2	0	233	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	1	0	0	0	1	2
AADACL4	AADACL4	mRNA	0	0	5000	0	0	1575	1	0	22532	1	0	20957	0	0	0	0	0	6	0	0	6	0	0	5000	0	0	351	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	AADAT	mRNA	0	0	5000	0	0	2404	12	0	30000	12	0	27596	0	0	0	0	0	26	0	0	26	0	0	5189	0	0	706	0	0	420	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	AAED1	mRNA	0	0	5000	0	0	1225	2	0	14067	2	0	12842	0	0	0	1	0	10	0	0	10	0	0	5000	0	0	508	0	0	36	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
AAGAB	AAGAB	mRNA	0	0	5000	4	0	3406	12	0	54524	7	0	51118	0	0	0	0	0	18	0	0	22	1	0	5462	1	0	2146	1	0	639	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	2	0	0	1	1	1
AAK1	AAK1	mRNA	0	0	5000	5	0	21265	22	0	185851	15	0	164586	0	0	0	0	0	42	0	0	42	0	0	5000	2	0	17874	0	0	505	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	3	0	0	0	2	0
AAMDC	AAMDC	mRNA	2	0	5000	1	0	504	9	0	51191	7	0	50687	0	0	0	0	0	6	0	0	6	1	0	5000	1	0	37	0	0	98	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	1	0	0	1	1	0
AAMP	AAMP	mRNA	7	0	5000	0	0	1793	0	0	6042	0	0	4249	0	0	0	0	0	20	0	0	20	6	0	5000	1	0	404	0	0	84	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
AANAT	AANAT	mRNA	2	0	5000	3	0	2093	5	0	16767	2	0	14674	0	0	0	0	0	12	0	0	14	0	0	10000	0	0	147	0	0	1262	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	AAR2	mRNA	0	0	5000	0	0	2765	3	0	20525	3	0	17760	0	0	0	0	0	6	0	0	8	0	0	5000	0	0	1196	0	0	414	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	AARD	mRNA	0	0	5000	0	0	1786	1	0	5776	0	0	3990	0	0	0	0	0	2	0	0	2	0	0	5000	1	0	1299	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AARS	AARS	mRNA	2	0	5000	6	0	3344	12	0	37116	5	0	33772	0	0	0	0	0	40	0	0	40	0	0	5000	1	0	327	0	0	110	0	0	0	0	2	0	0	5	4	0	0	0	0	0	0	3	0	0	0	1	0
AARS2	AARS2	mRNA	0	0	5000	6	0	4782	20	0	14601	13	0	9819	0	0	0	0	0	42	0	0	42	0	0	5000	1	0	1821	0	0	3	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	3	0	0	0	1	0
AARSD1	AARSD1	mRNA	0	0	5000	1	0	1364	14	0	13973	13	0	12609	0	0	0	0	0	22	0	0	22	7	0	5000	0	0	67	0	0	58	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	7	0	0
AASDH	AASDH	mRNA	0	0	5000	7	0	3561	28	0	49182	20	0	45621	0	0	0	0	0	28	0	0	28	0	0	5000	1	0	111	0	0	153	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0	3	0	0	0	1	0
AASDHPPT	AASDHPPT	mRNA	0	0	5000	0	0	2861	6	0	21128	6	0	18267	0	0	0	0	0	10	0	0	10	0	0	5000	0	0	1785	0	0	146	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	AASS	mRNA	0	0	5000	0	0	5871	2	0	70747	2	0	64876	0	0	0	0	0	46	0	0	46	0	0	5000	0	0	2945	0	0	145	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	AATF	mRNA	0	0	5000	1	0	2141	4	0	107997	1	0	105856	0	0	0	0	0	22	0	0	22	0	0	5000	1	0	207	1	0	251	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
AATK	AATK	mRNA	2	0	5000	4	0	5358	38	0	48777	34	0	43419	0	0	0	0	0	26	0	0	28	11	0	10000	0	0	1106	0	0	247	0	0	0	0	2	0	0	34	2	0	0	0	0	0	0	2	0	0	11	0	0
AATK-AS1	AATK-AS1	Non-coding_transcript	0	0	5000	3	0	1577	3	0	17658	0	0	16081	0	0	0	0	0	10	0	0	10	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ABAT	ABAT	mRNA	0	0	5000	6	0	5930	49	0	109989	41	0	104059	0	0	0	0	0	30	0	0	34	1	0	15000	2	0	3145	0	0	1282	0	0	0	0	0	0	0	41	4	0	0	0	0	0	0	2	0	0	1	2	0
ABCA1	ABCA1	mRNA	0	0	5000	120	0	10502	163	0	147244	43	0	136742	0	0	0	0	0	98	0	0	98	10	0	5000	0	0	3312	0	0	404	0	0	0	0	0	0	0	43	78	0	0	0	0	8	0	37	0	0	10	0	0
ABCA10	ABCA10	mRNA	0	0	5000	6	0	6331	39	0	96809	32	0	90478	0	0	0	0	0	78	0	0	78	2	0	5000	1	0	820	0	0	879	0	0	0	0	0	0	0	32	3	0	0	0	0	0	0	3	0	0	2	1	0
ABCA11P	ABCA11P	Non-coding_transcript	0	0	5000	0	0	1895	0	0	48775	0	0	46880	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	mRNA	0	0	5000	47	0	9290	110	0	206886	62	0	197596	0	0	0	0	0	104	0	0	104	2	0	10000	1	0	1092	0	0	379	0	0	0	0	0	0	0	62	24	0	0	0	0	2	0	21	0	0	2	1	0
ABCA13	ABCA13	mRNA	0	0	5000	25	0	17184	87	0	476035	62	0	458851	0	0	0	0	0	122	0	0	122	1	0	5000	0	0	1983	0	0	24	0	0	0	0	0	0	0	62	18	0	0	0	0	1	0	6	0	0	1	0	0
ABCA17P	ABCA17P	Non-coding_transcript	1	0	5000	3	0	4188	7	0	85778	4	0	81590	0	0	0	0	0	32	0	0	32	0	0	5000	0	0	0	0	0	0	0	0	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	ABCA2	mRNA	1	0	5000	9	0	8360	26	0	21689	16	0	13329	0	0	0	0	0	96	0	0	98	5	0	5634	1	0	695	0	0	198	0	0	0	0	1	0	0	16	2	0	0	0	0	0	0	7	0	0	5	1	0
ABCA3	ABCA3	mRNA	0	0	5000	75	0	6623	86	0	64869	24	0	58246	0	0	0	0	0	64	0	0	64	0	0	5000	0	0	796	0	0	712	0	0	0	0	0	0	0	24	48	0	0	0	0	5	0	22	0	0	0	0	0
ABCA4	ABCA4	mRNA	0	0	5000	447	0	7325	513	0	128312	63	0	120987	2	0	0	0	0	98	0	0	98	0	0	5000	1	0	399	0	0	104	0	0	0	0	0	0	0	63	313	1	0	0	1	23	0	121	0	0	0	1	0
ABCA5	ABCA5	mRNA	0	0	5000	5	0	9380	36	0	82748	31	0	73368	0	0	0	0	0	76	0	0	76	0	0	10000	0	0	3102	0	0	1349	0	0	0	0	0	0	0	31	4	0	0	0	0	0	0	1	0	0	0	0	0
ABCA6	ABCA6	mRNA	0	0	5000	3	0	5296	30	0	63169	26	0	57873	0	0	0	0	0	76	0	0	76	0	0	5000	1	0	267	0	0	175	0	0	0	0	0	0	0	26	3	0	0	0	0	0	0	0	0	0	0	1	0
ABCA7	ABCA7	mRNA	8	0	5000	16	0	6818	50	0	25469	33	0	18651	0	0	0	0	0	92	0	0	92	4	0	5000	1	0	146	0	0	231	0	0	0	0	8	0	0	33	5	0	0	0	0	0	0	11	0	0	4	1	0
ABCA8	ABCA8	mRNA	0	0	5000	1	0	5720	23	0	88103	22	0	82383	0	0	0	0	0	74	0	0	74	0	0	5000	0	0	795	0	0	179	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA9	ABCA9	mRNA	0	0	5000	3	0	6301	16	0	86364	13	0	80063	0	0	0	0	0	76	0	0	76	0	0	5000	0	0	1283	0	0	143	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	1	0	0	0	0	0
ABCB1	ABCB1	mRNA	0	0	5000	7	0	4716	35	0	209461	26	0	204745	0	0	0	0	0	56	0	0	56	0	0	5000	1	0	380	1	0	493	0	0	0	0	0	0	0	26	4	0	0	0	0	1	0	3	0	0	0	1	1
ABCB10	ABCB10	mRNA	1	0	5000	2	0	3857	8	0	42114	6	0	38257	0	0	0	0	0	24	0	0	24	0	0	5000	0	0	1597	0	0	43	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0
ABCB11	ABCB11	mRNA	0	0	5000	136	0	4775	154	0	108385	17	0	103610	1	0	0	0	0	54	0	0	54	1	0	5000	0	0	683	0	0	126	0	0	0	0	0	0	0	17	88	1	0	0	0	8	0	42	0	0	1	0	0
ABCB4	ABCB4	mRNA	1	0	5000	103	0	3988	121	0	73659	24	0	69671	0	0	0	0	0	56	0	0	54	0	0	5000	0	0	51	0	0	76	0	0	0	0	1	0	0	24	69	0	0	0	0	3	0	32	0	0	0	0	0
ABCB5	ABCB5	mRNA	8	0	15000	10	0	7728	50	0	141393	40	0	133665	1	0	0	0	0	58	0	0	54	5	0	10000	2	0	3492	2	0	783	0	0	0	0	8	0	0	40	6	0	0	0	1	0	0	4	0	0	5	2	2
ABCB6	ABCB6	mRNA	4	0	5000	8	0	3018	6	0	9225	2	0	6207	0	0	0	0	0	36	0	0	36	3	0	5000	0	0	172	1	0	317	0	0	0	0	4	0	0	2	3	0	0	0	0	0	0	5	0	0	3	0	1
ABCB7	ABCB7	mRNA	0	0	5000	4	0	2528	8	0	103169	4	0	100641	0	0	0	0	0	32	0	0	30	3	0	5000	0	0	198	0	0	68	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	3	0	0	3	0	0
ABCB8	ABCB8	mRNA	4	0	5000	1	0	4683	10	0	19360	10	0	14677	0	0	0	0	0	30	0	0	30	2	0	5000	0	0	2433	0	0	93	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	1	0	0	2	0	0
ABCB9	ABCB9	mRNA	0	0	13041	0	0	3909	2	0	45559	2	0	41650	0	0	0	0	0	26	0	0	22	0	0	5000	0	0	1280	0	0	310	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ABCC1	mRNA	0	0	5000	12	0	6563	60	0	193497	48	0	186934	0	0	0	0	0	60	0	0	60	0	0	5000	0	0	1792	0	0	175	0	0	0	0	0	0	0	48	7	0	0	0	0	0	0	5	0	0	0	0	0
ABCC10	ABCC10	mRNA	3	0	5000	1	0	5464	12	0	22872	10	0	17408	0	0	0	0	0	44	0	0	42	2	0	9197	0	0	334	2	0	574	0	0	0	0	3	0	0	10	1	0	0	0	0	0	0	0	0	0	2	0	2
ABCC11	ABCC11	mRNA	0	0	5000	3	0	4908	11	0	68267	8	0	63359	0	0	0	1	0	58	0	0	58	0	0	7906	0	0	363	0	0	396	0	0	0	0	0	0	0	8	2	0	1	0	0	0	0	1	0	0	0	0	0
ABCC12	ABCC12	mRNA	0	0	5000	3	0	5168	8	0	63798	5	0	58630	0	0	0	0	0	56	0	0	56	0	0	5000	0	0	742	0	0	346	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	1	0	0	0	0	0
ABCC13	ABCC13	Non-coding_transcript	2	0	10000	4	0	2924	11	0	27573	8	0	24649	0	0	0	0	0	12	0	0	10	0	0	5000	0	0	0	0	0	0	0	0	0	0	2	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	ABCC2	mRNA	0	0	5000	29	0	5051	44	0	69200	14	0	64149	0	0	0	0	0	62	0	0	62	0	0	5000	0	0	274	1	0	139	0	0	0	0	0	0	0	14	23	0	0	0	0	5	0	1	0	0	0	0	1
ABCC3	ABCC3	mRNA	4	0	10000	6	0	5271	27	0	56846	21	0	51575	0	0	0	0	0	60	0	0	60	1	0	5000	0	0	588	0	0	80	0	0	0	0	4	0	0	21	3	0	0	0	0	3	0	0	0	0	1	0	0
ABCC4	ABCC4	mRNA	0	0	10000	9	0	6252	90	0	281605	80	0	275353	0	0	0	0	0	62	0	0	60	0	0	5000	2	0	2110	0	0	119	0	0	0	0	0	0	0	80	2	0	0	0	0	0	0	7	0	0	0	2	0
ABCC5	ABCC5	mRNA	4	0	10000	4	0	7060	23	0	98004	19	0	90944	0	0	0	0	0	62	0	0	60	1	0	5000	0	0	2545	0	0	165	0	0	0	0	4	0	0	19	0	0	0	0	0	0	0	4	0	0	1	0	0
ABCC5-AS1	ABCC5-AS1	Non-coding_transcript	0	0	5000	0	0	469	0	0	5082	0	0	4613	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	mRNA	3	0	10000	170	0	5579	229	0	73907	58	0	68328	0	0	0	0	0	60	0	0	60	0	0	5000	1	0	949	0	0	37	0	0	0	0	3	0	0	58	105	0	0	0	0	9	0	62	0	0	0	1	0
ABCC6P1	ABCC6P1	Non-coding_transcript	0	0	5000	0	0	2724	1	0	27038	1	0	24314	0	0	0	0	0	18	0	0	18	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	ABCC6P2	Non-coding_transcript	0	0	5000	0	0	706	1	0	2271	1	0	1565	0	0	0	0	0	2	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ABCC8	mRNA	28	0	5000	248	0	4978	286	0	84018	37	0	79040	1	0	0	0	0	76	0	0	76	1	0	5000	0	0	106	0	0	126	0	0	0	0	28	0	0	37	172	1	0	0	0	10	0	74	0	0	1	0	0
ABCC9	ABCC9	mRNA	0	0	10000	17	0	8462	59	0	139305	44	0	130843	0	0	0	0	0	76	0	0	74	0	0	5000	0	0	3654	0	0	20	0	0	0	0	0	0	0	44	14	0	0	0	0	0	0	3	0	0	0	0	0
ABCD1	ABCD1	mRNA	6	0	5000	319	0	3664	325	0	19894	3	0	16230	3	0	0	0	0	18	0	0	18	0	0	5000	0	0	1027	0	0	399	0	0	0	0	6	0	0	3	256	0	0	0	3	70	0	0	0	0	0	0	0
ABCD2	ABCD2	mRNA	0	0	5000	0	0	5341	5	0	68822	5	0	63481	0	0	0	0	0	18	0	0	18	0	0	5000	0	0	2692	0	0	426	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ABCD3	mRNA	0	0	10000	2	0	3797	10	0	100287	7	0	96490	0	0	0	0	0	46	0	0	44	0	0	5000	1	0	1688	0	0	102	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	1	0
ABCD4	ABCD4	mRNA	0	0	5000	6	0	3157	14	0	17788	9	0	14631	0	0	0	0	0	36	0	0	36	2	0	5000	0	0	1184	0	0	152	0	0	0	0	0	5	0	9	3	0	0	0	0	0	0	3	0	0	2	0	0
ABCE1	ABCE1	mRNA	0	0	5000	0	0	4194	3	0	31521	3	0	27327	0	0	0	0	0	36	0	0	34	0	0	5000	0	0	1951	0	0	443	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20136	0	0	16672	0	0	0	0	0	49	0	0	49	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.2	ABCF1	mRNA	0	0	5000	1	0	3464	10	0	20140	9	0	16676	0	0	0	0	0	48	0	0	48	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.3	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	0	0	0	49	0	0	49	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.4	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20136	0	0	16672	0	0	0	0	0	49	0	0	49	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.5	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	0	0	0	48	0	0	48	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.6	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	0	0	0	48	0	0	48	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.7	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20139	0	0	16675	0	0	0	0	0	49	0	0	49	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	ABCF2	mRNA	0	0	9653	2	0	3818	11	0	19395	9	0	15577	0	0	0	0	0	30	0	0	30	0	0	5000	0	0	1798	0	0	111	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0
ABCF3	ABCF3	mRNA	0	0	5000	1	0	2572	4	0	7933	8	0	5361	0	0	0	0	0	40	0	0	40	3	0	5000	0	0	309	0	0	133	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	3	0	0
ABCG1	ABCG1	mRNA	4	0	5000	1	0	3605	32	0	97556	31	0	93951	0	0	0	0	0	32	0	0	40	9	0	13944	0	0	852	7	0	632	0	0	0	0	4	0	0	31	1	0	0	0	0	0	0	0	0	0	9	0	7
ABCG2	ABCG2	mRNA	0	0	5000	19	0	4760	39	0	141059	20	0	136299	0	0	0	0	0	32	0	0	32	1	0	10000	1	0	2092	0	0	822	0	0	0	0	0	0	0	20	15	0	0	0	0	1	0	4	0	0	1	1	0
ABCG4	ABCG4	mRNA	0	0	5000	0	0	3935	5	0	13625	3	0	9690	0	0	0	0	0	28	0	0	30	1	0	5549	1	0	1558	1	0	436	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1
ABCG5	ABCG5	mRNA	5	0	5000	19	0	2740	20	0	26348	1	0	23608	0	0	0	0	0	24	0	0	24	2	0	5000	0	0	644	0	0	140	0	0	0	0	5	0	0	1	10	0	0	0	0	1	0	11	0	0	2	0	0
ABCG8	ABCG8	mRNA	0	0	5000	27	0	2665	47	0	39503	19	0	36838	0	0	0	0	0	24	0	0	24	4	0	5000	0	0	553	1	0	90	0	0	0	0	0	0	0	19	16	0	0	0	0	9	0	3	0	0	4	0	1
ABHD1	ABHD1	mRNA	7	0	5000	2	0	1446	3	0	7024	1	0	5578	0	0	0	0	0	16	0	0	16	0	0	5000	0	0	68	0	0	160	0	0	0	0	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	ABHD10	mRNA	0	0	5000	3	0	2806	9	0	14493	6	0	11687	0	0	0	0	0	10	0	0	10	2	0	5000	1	0	2002	2	0	186	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	2	1	2
ABHD11	ABHD11	mRNA	0	0	5002	3	0	1645	0	0	2766	4	0	1121	0	0	0	0	0	12	0	0	12	1	0	5006	2	0	464	0	0	57	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	1	0	0	1	2	0
ABHD11-AS1	ABHD11-AS1	Non-coding_transcript	7	0	5000	0	0	473	0	0	932	0	0	459	0	0	0	0	0	6	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ABHD12	mRNA	15	0	10000	5	0	2411	24	0	96240	22	0	93829	0	0	0	0	0	26	0	0	24	0	0	5000	8	0	877	0	0	279	0	0	0	0	15	0	0	22	0	0	0	0	0	0	0	5	0	0	0	8	0
ABHD12B	ABHD12B	mRNA	1	0	5000	1	0	1708	11	0	32811	10	0	31103	0	0	0	0	0	24	0	0	24	1	0	5000	0	0	604	0	0	15	0	0	0	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	1	0	0
